venue_abbr,venue_name,venue_old
Kangaroo Flat Sports Club,Kangaroo Flat Sports Club,Kangaroo Flat Sports Club
Karingal Bowling Club,Karingal Bowling Club,Karingal Bowls Club
Kealba Hotel,Kealba Hotel,Kealba Views Hotel
Keilor East RSL,Keilor East RSL,Keilor East RSL
Keilor Hotel,Keilor Hotel,Keilor Hotel (Tatts)
Kerang Sports and Entertainment Venue,Kerang Sports and Entertainment Venue,Kerang Sports and Entertainment Club
Keysborough Hotel,Keysborough Hotel,Keysborough Hotel
Kilmore Trackside,Kilmore Trackside,Kilmore Racing Club
Kings Creek Hotel,Kings Creek Hotel,Kings Creek Hotel
Kirkpatricks Hotel,Kirkpatricks Hotel,Kirkpatricks Hotel
Knox Club,Knox Club,Knox Club
Knox Tavern,Knox Tavern,Knox Tavern
Kooringal Golf Club,Kooringal Golf Club,Kooringal Golf Club
Korumburra Hotel,Korumburra Hotel,Korumburra Hotel
Kyabram Club,Kyabram Club,Kyabram Club
Kyneton Bowling Club,Kyneton Bowling Club,Kyneton Bowls Club
Kyneton RSL,Kyneton RSL,Kyneton RSL
Lakes Entrance RSL,Lakes Entrance RSL,Lakes Entrance RSL
Lakes Entrance Bowls Club,Lakes Entrance Bowls Club,Lakes Entrance Bowls Club
Lakeside Club,Sale Community Bowls Club,Sale Community Sports Club
Lalor Bowling Club,Lalor Bowling Club,Lalor Bowling Club
Langwarrin Hotel,Langwarrin Hotel,Langwarrin Hotel
Lara Hotel,Lara Hotel,Lara Hotel
Lara Sporting Club,Lara Sporting Club,Lara Sporting Club
Leighoak,MVRC Leighoak Club,Leigh Oak Melbourne Football Club
Leongatha RSL,Leongatha RSL,Leongatha RSL
Leopold Sportsmans Club,Leopold Sportsmans Club,Leopold Sportsmans Club
Lincolnshire Arms Hotel,Lincolnshire Arms Hotel,Lincolnshire Arms Hotel
Loch Sport RSL,Loch Sport RSL,Loch Sport RSL
Long Beach Hotel,Long Beach Hotel,Longbeach Hotel
Lord of The Isles,Lord of The Isles,Lord of The Isles Tavern
Lorne Hotel,Lorne Hotel,Lorne Hotel
Lower Plenty Hotel,Lower Plenty Hotel,Lower Plenty Hotel
Lynbrook Hotel,Lynbrook Hotel,Lynbrook Hotel
Lyndhurst Club Hotel,Lyndhurst Club Hotel,Lyndhurst Club Hotel
Mac's Hotel,Mac's Hotel (Melton),Macs Hotel - Melton
Mac's Hotel ,Mac's Hotel (Warrnambool),Macs Hotel (Wbool)
Maffra Community Sports Club,Maffra Community Sports Club,Maffra Community Sports Club
Magpie and Stump Hotel,Magpie and Stump Hotel,Magpie and Stump Hotel
Mail Exchange Hotel,Mail Exchange Hotel,Mail Exchange Hotel
Malvernvale Hotel,Malvernvale Hotel,Malvern Vale Club Hotel
Manhattan Hotel,Manhattan Hotel,Manhattan Hotel
Manningham Club,Manningham Club,Manningham Club
Mansfield Golf Club,Mansfield Golf Club,Mansfield Golf Club
Marine Hotel,Marine Hotel,Marine Hotel
Maroondah Sports Club,Maroondah Sports Club,Maroondah Club
Maryborough Golf Club,Maryborough Golf Club,Maryborough Golf Club
Maryborough Highland Society,Maryborough Highland Society,Maryborough Highland Society
Matthew Flinders,Matthew Flinders,Matthew Flinders Taverner
Mccartins Hotel,Mccartins Hotel,Mc Cartins Hotel
Mckinnon Hotel,Mckinnon Hotel,Mckinnon Hotel
Meadow Inn Hotel,Meadow Inn Hotel,Meadow Inn Hotel
Melton Country Club,Melton Country Club,Melton Country Club
Mentone RSL,Mentone RSL,Mentone RSL
Merbein Citizens Club,Merbein Citizens Club,Merbein Citizens Club
Midlands Golf Club,Midlands Golf Club,Ballarat RSL
Mildura Gateway Tavern,Mildura Gateway Tavern,Mildura Gateway Tavern
Mildura Golf Club,Mildura Golf Club,Mildura Golf Club
Mildura RSL,Mildura RSL,Mildura RSL
Mildura Working Mans Sports and Social Club,Mildura Working Mans Sports & Social Clu,Mildura Workingmans Club
Millers Inn Hotel,Millers Inn Hotel,Millers Inn
Mitcham Hotel,Mitcham Hotel,Mitcham Hotel
Mitcham RSL,Mitcham RSL,Mitcham RSL
Mitchell River Tavern,Mitchell River Tavern,Mitchell River Tavern
Moe Hotel,Moe Hotel,Moe Hotel
Moe Racing Club,Moe Racing Club,Turfside Tabaret
Moe RSL,Moe RSL,Moe RSL Club
Monash Hotel,Monash Hotel,Monash Hotel
Monbulk Bowling Club,Monbulk Bowling Club,Monbulk Bowling Club
Montmorency RSL,Montmorency RSL,Montmorency RSL
Moonee Valley Racing Club,Moonee Valley Racing Club,Moonee Valley Legends
Mooroopna Golf Club,Mooroopna Golf Club,Mooroopna Golf Club
Mordialloc Sporting Club,Mordialloc Sporting Club,The Kingston Club
Moreland Hotel,Moreland Hotel,Moreland Hotel
Mornington Golf Club,Mornington Golf Club,Mornington Country Golf Club
Mornington on Tanti Hotel,Mornington on Tanti Hotel,Mornington on Tanti Hotel
Morwell Bowling Club,Morwell Bowling Club,Morwell Bowling Club
Morwell Club,Morwell Club,Morwell Club Inc.
Morwell Hotel,Morwell Hotel,Morwell Hotel Motel
Morwell RSL,Morwell RSL,Morwell RSL
Motor Club Hotel,Motor Club Hotel,Kellys Motor Club Hotel
Mount Beauty Country Club,Mount Beauty Country Club,Mt Beauty Workingmans Club
Mountain View Hotel,Mountain View Hotel,Mountain View Hotel
Mulgrave Country Club,Mulgrave Country Club,Mulgrave Country Club
Myrtleford Savoy Club,Myrtleford Savoy Club,Myrtleford Savoy Sporting Club
Nagambie Lakes Entertainment Centre,Nagambie Lakes Entertainment Centre,Nagambie Lakes Entertainment Centre
New Bay Hotel,New Bay Hotel,New Bay Hotel
Newborough Bowling Club,Newborough Bowling Club,Yallourn Bowling Club
Newmarket Tavern,Newmarket Tavern,Newmarket Tavern
Newport Social,Newport Social,Seagulls Nest
Noble Park Football Club,Noble Park Football Club,Noble Park Football Social Club
Noble Park RSL,Noble Park RSL,Noble Park RSL
Norlane Hotel,Norlane Hotel,Norlane Hotel
North Ballarat Sports Club,North Ballarat Sports Club,North Ballarat Sports
North Melbourne Football Social Club,North Melbourne Football Social Club,North Melbourne Football Social Club
North Shore Sports Club,North Shore Sports Club,North Shore Sports Club
Northcote Park Football Club,Northcote Park Football Club,Northcote Park Football Club
Northcote RSL,Northcote RSL,Northcote RSL
Numurkah Golf and Bowls Club,Numurkah Golf and Bowls Club,Numurkah Golf & Bowls Club
Oakleigh - Carnegie RSL,Oakleigh - Carnegie RSL (Sub-Branch),Oakleigh - Carnegie RSL (Sub-Branch)
Oakleigh Junction Hotel,Oakleigh Junction Hotel,Oakleigh Junction Hotel
Oasis Oz Hotel,Oasis Oz Hotel,Oasis Oz Hotel
Ocean Grove Bowling Club,Ocean Grove Bowling Club,Ocean Grove Bowling Club
Jim Dandy Hotel,The Jim Dandy Hotel,Old Dandy Inn
Old England Hotel,Old England Hotel,Old England Hotel
Olinda Creek Hotel,Olinda Creek Hotel,Olinda Hotel
Olive Tree Hotel,Olive Tree Hotel,Olive Tree Hotel
Olympic Hotel,Olympic Hotel,Olympic Hotel Preston
Ouyen Club,Ouyen Club,Ouyen and District Community Club
Pakenham Hotel,Pakenham Hotel,Castello's Pakenham Hotel
Palace Hotel,Palace Hotel,Palace Hotel
Parkview Hotel,Parkview Hotel,Parkview Hotel
Pascoe Vale RSL,Pascoe Vale RSL,Pascoe Vale RSL
Pascoe Vale Taverner Hotel,Pascoe Vale Taverner Hotel,Pascoe Vale Taverner Hotel
Peninsula Club,Peninsula Club,Dromana Red Hill RSL
Peninsula Hotel Motel,Peninsula Hotel Motel,Peninsula Hotel
Peppermill Inn Hotel Motel,Peppermill Inn Hotel Motel,Peppermill Hotel
Phillip Island Golf Club,Phillip Island Golf Club,Cowes Golf Club
Phillip Island RSL,Phillip Island RSL,Phillip Is RSL (New Site)
Phoenix Hotel,Phoenix Hotel,Pheonix Hotel
Pier Hotel,Pier Hotel,Pier Hotel
Pinsent Hotel,Pinsent Hotel,Pinsent Hotel
Players Hotel,Players Hotel,Players Hotel
Players on Lygon,Players on Lygon,Downunder Rock Cafe/ Players
Plough Hotel,Plough Hotel,Plough Hotel
Polish Community Assoc In Geelong,Polish Community Assoc In Geelong,Polish Community Assn White Eaglehouse
Portarlington Golf Club,Portarlington Golf Club,Portarlington Golf Club
Portland Football Netball Cricket Club,Portland Football Netball Cricket Club,Portland Football Netball Cricket Club
Portland RSL,Portland RSL Memorial Bowling Club,Portland RSL
Powell Hotel,Powell Hotel,Powell Hotel
Prahran Football Social Club,Prahran Football Social Club,Prahran Social Club
Preston Hotel,Preston Hotel,Preston Hotel
Prince Mark Hotel,Prince Mark Hotel,Prince Mark Hotel (Tatts)
Pullman Melbourne on Swanston,Pullman Melbourne on Swanston,Mercure Grand Hotel on Swanston
Queenscliff Bowls Club,Queenscliff Bowling Tennis and Croquet C,Queenscliff Bowls Club
Racecourse Hotel,Racecourse Hotel (Malvern East),Racecourse Hotel (Malvern East)
Racecourse Hotel,Racecourse Hotel (Werribee),Racecourse Hotel
Rafferty's Tavern,Rafferty's Tavern,Rafferty's Tavern
Railway Club Hotel,Railway Club Hotel,Railway Club Hotel
Red Cliffs Club,Red Cliffs Club,Red Cliffs Club
Red Lion Hotel,Red Lion Hotel,Red Lion Hotel
Reggio Calabria Club,Reggio Calabria Club,Reggio Calabria Club
Preston-Reservoir Bowls Club,Preston-Reservoir Bowls Club,Reservoir Bowling Club
Reservoir RSL,Reservoir RSL,Reservoir RSL
Richmond Henty Hotel,"The Richmond Henty Hotel, Portland",Richmond Henty Hotel
Richmond Tavern,Richmond Tavern,Richmond Tavern
Rifle Club Hotel,Rifle Club Hotel,Rifle Club Hotel
Ringwood RSL,Ringwood RSL,Ringwood RSL
Rising Sun Hotel,Rising Sun Hotel,Rising Sun Hotel
Riversdale Hotel,Riversdale Hotel,Riversdale Hotel
Riviera Hotel,Riviera Hotel,Riviera Hotel
Robin Hood Hotel,Robin Hood Hotel,Robin Hood Hotel
Robinvale Golf Club,Robinvale Golf Club,Robinvale Golf Club
Rose Shamrock & Thistle Hotel,Rose Shamrock & Thistle Hotel,Rose Shamrock Hotel
Rosebud Country Club,Rosebud Country Club,Rosebud Country Club
