Venue Name,Venue Type,Address,City / Town,Postcode,LGA,Region,Lat,Long
PRESTON-RESERVOIR BOWLS CLUB,CLUB,75 LEAMINGTON STREET,RESERVOIR,3073,City of Darebin,Darebin (Capped Region),-37.71141788,144.9932762
BALL COURT HOTEL,HOTEL,60 MACEDON STREET,SUNBURY,3429,City of Hume,Hume (Capped Region),-37.58113396,144.7362464
MORNINGTON GOLF CLUB,CLUB,TALLIS DRIVE,MORNINGTON,3931,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.20843903,145.059683
THE CLUBHOUSE BAR & BISTRO,CLUB,10 CLUBHOUSE PLACE,WEST WODONGA,3690,Rural City of Wodonga,Wodonga City,-36.11820845,146.8399794
PHILLIP ISLAND GOLF CLUB,CLUB,SETTLEMENT ROAD,COWES,3922,Bass Coast Shire,Bass Coast (Capped Region),-38.455824,145.25582
THE LINCOLN,HOTEL,"LOT 4, 64 LINCOLN CAUSEWAY",WODONGA,3691,Rural City of Wodonga,Wodonga City,-36.095276,146.90305
OASIS OZ HOTEL,HOTEL,177 Dryburgh St,NORTH MELBOURNE,3051,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.802352,144.943581
ISLE OF WIGHT HOTEL,HOTEL,9-10 The Esplanade,COWES,3922,Bass Coast Shire,Bass Coast (Capped Region),-38.448044,145.241058
PULLMAN MELBOURNE ON THE PARK,HOTEL,192 WELLINGTON PARADE,EAST MELBOURNE,3002,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.815991,144.983441
WESTERN BULLDOGS,CLUB,WESTERN OVAL,FOOTSCRAY,3011,City of Maribyrnong,Maribyrnong (Capped Region),-37.800121,144.885234
GOLDEN FLEECE SOUTH MELBOURNE,HOTEL,120 MONTAGUE STREET,SOUTH MELBOURNE,3205,City of Port Phillip,Port Phillip City,-37.83127692,144.9503574
RICHMOND TAVERN,HOTEL,14 Elizabeth St,RICHMOND,3121,City of Yarra,Yarra City,-37.811313,144.992182
ELTHAM RSL,CLUB,804 Main Rd,ELTHAM,3095,Shire of Nillumbik,Nillumbik Shire,-37.720384,145.146107
NORTH MELBOURNE FOOTBALL SOCIAL CLUB,CLUB,204-206 Arden St,NORTH MELBOURNE,3051,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.799843,144.940821
HURSTBRIDGE BOWLING & RECREATION CLUB,CLUB,36 GREYSHARPS ROAD,HURSTBRIDGE,3099,Shire of Nillumbik,Nillumbik Shire,-37.6401546,145.1891913
THE GRAND AT DANDENONG,HOTEL,139-155 Thomas St,DANDENONG,3175,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.989547,145.212822
